Building_ID,HVAC_System_Type,Pre_Automation_Energy_kWh,Post_Automation_Energy_kWh,Peak_Demand_Reduction_MW,Automation_Efficiency_%,Cost_Savings_$,CO2_Reduction_Metric_Tons
B0001,Traditional,191283.29589730225,123296.54881640682,26.1313215402087,62.44686529234493,4547.691844726697,23.007656523306185
B0002,Upgraded,54927.63443859104,49098.849239313386,34.43287120641951,54.1415161842171,479.0121119153656,4.006913300576354
B0003,Upgraded,199353.2755425771,166788.83936931362,28.636484119174607,68.65849725139344,2726.7622148652263,15.309969393230086
B0004,Smart Automated,237490.11759979444,137780.91720496572,33.9406007722618,93.26573895152474,4802.323498586229,19.03203133602458
B0005,Traditional,185475.2368445896,137102.9094968176,19.614156969390905,65.93362794382745,5156.951042564753,24.296782114256533
B0006,Smart Automated,95358.85877244933,49469.36658028139,30.61946753458956,83.19257789790464,4184.076912448751,18.824635617005487
B0007,Upgraded,94636.1655135834,72400.2640077766,36.9140644269574,68.81569041006216,3147.3362976053045,15.126888880052238
B0008,Upgraded,52905.13497702516,38621.263455669134,32.15725670531158,65.85516227145625,1635.4657357157269,8.540427939270568
B0009,Smart Automated,299281.1250394278,168616.08277465517,48.93963551749571,80.8661722156113,7499.403847249914,21.216516954365105
B0010,Upgraded,123286.93256525332,96925.41301025772,36.91111562898475,60.78189105472018,3632.066346355865,11.70269249459688
B0011,Smart Automated,117248.3511087744,59509.80936411679,39.91451598127193,77.94606088557941,2167.337467194334,10.654800919518989
B0012,Upgraded,286066.62227835844,228044.9741970261,42.065554898229024,51.13171312293432,5321.9994784790015,34.92483365634632
B0013,Smart Automated,162846.75608241887,78038.32370002854,43.77656439626412,85.35921055425158,6097.05482243822,26.97383672490681
B0014,Smart Automated,285682.94353378145,145913.3335364432,32.292930381738884,91.45069588768392,6764.388113183572,28.61901703711065
B0015,Smart Automated,149750.67596753256,79416.7607077927,30.88156408118992,82.89152151195293,1849.67971878231,14.891567799597803
B0016,Traditional,208066.0719798826,128597.56533663078,26.310684321729056,57.434481328046864,7691.2947161267775,37.00206397386054
