Building_ID,Location,Building_Type,Energy_Saved_kWh,Energy_Waste_kWh,Energy_Savings_%,HVAC_System_Type_Num,External_Temperature_C,Building_Occupancy_%
B0001,London,Office,67986.74708089542,67986.74708089542,35.542438121411664,0,16.236203565420873,45.42719682496979
B0002,Toronto,Hospital,5828.785199277656,5828.785199277656,10.61175355329424,1,33.52142919229749,52.60920934375193
B0003,Toronto,Hotel,32564.43617326347,32564.43617326347,16.335039434207083,1,26.959818254342157,86.90926538819623
B0004,Toronto,Hotel,99709.20039482872,99709.20039482872,41.98456820121387,2,22.959754525911094,40.60039474539029
B0005,Mississauga,Hospital,48372.32734777202,48372.32734777202,26.080207886890783,0,9.680559213273096,88.26847163309542
B0006,Mississauga,Hospital,45889.492192167934,45889.492192167934,48.12294608272528,2,9.67983561008608,17.932098787902234
B0007,Mississauga,Office,22235.901505806803,22235.901505806803,23.496198715506093,1,6.742508365045984,79.91185934877677
B0008,Toronto,Hospital,14283.871521356028,14283.871521356028,26.99902670612032,1,30.985284373248057,86.27928697492626
B0009,Hamilton,Office,130665.0422647726,130665.0422647726,43.65963347924417,2,23.033450352296263,26.36358875536049
B0010,Hamilton,School,26361.5195549956,26361.5195549956,21.382249526763893,1,26.242177333881365,48.73118791349804
B0011,Ottawa,School,57738.54174465761,57738.54174465761,49.24465137346967,2,5.617534828874073,24.894979719729008
B0012,Mississauga,School,58021.64808133233,58021.64808133233,20.282564816273496,1,34.097295564859834,73.5943716094796
B0013,London,Hotel,84808.43238239033,84808.43238239033,52.0786747139548,2,29.973279224012654,58.1812991255491
B0014,Hamilton,Hospital,139769.60999733824,139769.60999733824,48.92473042613087,2,11.370173320348284,67.1791012037489
B0015,London,Office,70333.91525973986,70333.91525973986,46.96734409064634,2,10.454749016213018,27.683827026059003
B0016,Ottawa,Hospital,79468.50664325182,79468.50664325182,38.1938803799475,0,10.502135295603017,29.05712758471776
B0017,Ottawa,School,148247.98306440806,148247.98306440806,51.73928385484879,2,14.127267288786133,13.734759295891571
B0018,Ottawa,Hotel,28926.9239622709,28926.9239622709,13.478647394949444,1,20.742692948967136,38.98607816761567
B0019,Mississauga,School,86652.17289910927,86652.17289910927,46.87123366701009,2,17.958350559263472,60.37701952003074
